question,answer
"What is the first aid for a nosebleed?","Lean forward slightly, pinch the soft part of the nose for 10-15 minutes, apply cold compress to the bridge. Do not tilt head back."
"What is the normal hemoglobin level for adult men?","13.5 to 17.5 grams per deciliter (g/dL). For adult women: 12.0 to 15.5 g/dL."
"How to prevent kidney stones?","Drink plenty of water (2-3 L/day), limit sodium and animal protein, eat calcium‑rich foods, avoid excess oxalate (spinach, nuts)."
"What is the treatment for scabies?","Permethrin cream (5%) applied to the whole body from neck down, left on for 8-14 hours, then washed off. All household members should be treated."
"What are the signs of dehydration in elderly?","Dry mouth, sunken eyes, confusion, low blood pressure, dark urine, weakness. Elderly are at higher risk."
"What is the normal heart rate for an adult at rest?","60-100 beats per minute. Well‑trained athletes may have lower rates (40-60 bpm)."
"How to perform CPR on an adult?","Push hard and fast at 100-120 compressions per minute, depth 2 inches (5 cm). Allow full chest recoil. Use AED as soon as available."
"What is the difference between dementia and Alzheimer's disease?","Dementia is an umbrella term for cognitive decline; Alzheimer's is the most common cause (60-80% of cases)."
"What foods are high in iron?","Red meat, poultry, fish, beans, lentils, spinach, fortified cereals, and dried fruit (apricots, raisins)."
"What is the treatment for mild acne?","Over‑the‑counter benzoyl peroxide or salicylic acid. For persistent acne, topical retinoids or antibiotics may be prescribed."
"How to lower uric acid levels (gout prevention)?","Drink plenty of water, avoid purine‑rich foods (red meat, seafood, alcohol), eat cherries, and take medications like allopurinol if prescribed."
"What is the normal TSH (thyroid stimulating hormone) level?","0.4 to 4.0 mIU/L is generally considered normal. Ranges may vary slightly by laboratory."
"What are symptoms of vitamin D deficiency?","Fatigue, bone pain, muscle weakness, mood changes, frequent infections. Severe deficiency can cause rickets in children."
"What is the first aid for a venomous snake bite?","Keep the person calm, immobilise the affected limb, remove jewellery, and seek emergency medical help immediately. Do not apply ice or tourniquet."
"How to perform a testicular self‑exam?","Stand in front of a mirror, check for swelling, then gently roll each testicle between thumb and fingers. Feel for lumps or hardness."
"What is the normal A1c level for non‑diabetic adults?","Below 5.7%. Prediabetes: 5.7-6.4%. Diabetes: 6.5% or higher."
"What are the benefits of probiotics?","They may improve digestive health, reduce antibiotic‑associated diarrhoea, support immune function, and help manage irritable bowel syndrome (IBS)."
"What is the treatment for a urinary tract infection (UTI)?","Antibiotics (e.g., trimethoprim/sulfamethoxazole, nitrofurantoin). Drink plenty of water and avoid bladder irritants (caffeine, alcohol)."
"What is the normal range for potassium in blood?","3.6 to 5.2 millimoles per liter (mmol/L). Low potassium (hypokalemia) or high potassium (hyperkalemia) can be dangerous."
"How to prevent osteoporosis?","Consume adequate calcium and vitamin D, perform weight‑bearing exercises, avoid smoking, limit alcohol, and consider medications if high risk."
"What are symptoms of anaphylaxis?","Sudden hives, swelling of lips/tongue, difficulty breathing, wheezing, dizziness, rapid pulse, loss of consciousness. This is a medical emergency."
"What is the first aid for a seizure?","Cushion the head, remove nearby objects, turn the person on their side to keep airway clear, time the seizure. Do not put anything in the mouth."
"What is the normal bilirubin level in adults?","Total bilirubin: 0.3 to 1.0 mg/dL. Higher levels may indicate liver problems or gallbladder disease."
"How to treat a minor cut or scrape?","Clean with soap and water, apply antibiotic ointment, cover with sterile bandage. Change dressing daily."
"What is the difference between a virus and bacteria?","Viruses are smaller and require a host cell to replicate (e.g., cold, flu). Bacteria are single‑celled organisms that can live independently (e.g., strep throat, UTI)."
"What are the symptoms of gallstones?","Sudden, intense pain in the upper right abdomen, pain after fatty meals, nausea, vomiting, jaundice (if bile duct blocked)."
"What is the treatment for mild to moderate depression?","Cognitive‑behavioral therapy (CBT), selective serotonin reuptake inhibitors (SSRIs) like fluoxetine or sertraline, lifestyle changes (exercise, sleep)."
"What is the normal platelet count?","150,000 to 450,000 platelets per microliter of blood. Low counts (thrombocytopenia) increase bleeding risk."
"How to prevent heat stroke?","Stay hydrated, avoid strenuous activity during peak heat, wear light clothing, take breaks in cool areas, never leave anyone in a parked car."
"What are the signs of a blood clot in the leg (DVT)?","Swelling, pain or tenderness, warmth, redness, discoloration. Usually affects one leg. Seek medical attention promptly."
"What is the treatment for mild eczema?","Moisturisers, topical corticosteroids, avoid triggers (soaps, allergens). For severe cases, immunosuppressants or phototherapy."
"What is the normal oxygen saturation (SpO2) for a healthy person?","95% to 100%. Below 90% indicates hypoxemia and may require supplemental oxygen."
"How to perform a breast self‑exam?","Look for changes in size, shape, or skin texture. Feel for lumps or thickening while lying down or in the shower. Report any changes to a doctor."
"What is the first aid for a foreign body in the eye?","Do not rub the eye. Flush with clean water or saline for 15-20 minutes. If object is embedded, do not remove – seek emergency care."
"What are the symptoms of food poisoning?","Nausea, vomiting, diarrhoea, abdominal pain, fever, chills. Symptoms usually appear within hours to days after eating contaminated food."
"What is the treatment for mild to moderate anxiety?","Cognitive‑behavioral therapy (CBT), selective serotonin reuptake inhibitors (SSRIs), relaxation techniques (deep breathing, meditation), lifestyle changes."
"What is the normal creatinine level for adults?","0.6 to 1.2 mg/dL for men, 0.5 to 1.1 mg/dL for women. Higher levels may indicate kidney dysfunction."
"How to prevent falls in the elderly?","Remove tripping hazards, improve lighting, install grab bars, use non‑slip mats, exercise for balance and strength, review medications."
"What are the symptoms of a concussion?","Headache, confusion, dizziness, nausea, blurred vision, sensitivity to light or noise, memory loss, mood changes."
"What is the treatment for a mild sprain?","RICE: Rest, Ice (20 min every 2-3 hours), Compression (elastic bandage), Elevation above heart level. Over‑the‑counter pain relievers."
"What is the normal red blood cell count?","Men: 4.5-5.9 million cells/mcL; Women: 4.1-5.1 million cells/mcL. Low counts indicate anaemia."
"How to treat a blister?","Do not pop it. Cover with a loose bandage. If it pops, clean with soap and water, apply antibiotic ointment, and cover."
"What are the signs of a kidney infection?","Fever, chills, back or side pain, nausea, vomiting, frequent painful urination, cloudy or bloody urine."
"What is the treatment for mild to moderate psoriasis?","Topical corticosteroids, vitamin D analogues, moisturisers, phototherapy. For severe cases, biologics or systemic medications."
"What is the normal calcium level in blood?","8.5 to 10.2 mg/dL. Abnormal levels can affect bones, kidneys, and heart."
"How to prevent travellers' diarrhoea?","Avoid tap water, ice, raw fruits/vegetables, and undercooked food. Use bottled water for brushing teeth. Consider prophylactic antibiotics for high‑risk travel."
"What are the symptoms of a peptic ulcer?","Gnawing or burning abdominal pain (often worse between meals or at night), bloating, heartburn, nausea. Severe cases: vomiting blood, black stools."
"What is the treatment for a mild allergic reaction to insect stings?","Remove stinger if visible, wash area with soap, apply cold compress, take oral antihistamine. Severe reactions (anaphylaxis) require epinephrine."
"What is the normal albumin level?","3.5 to 5.0 g/dL. Low albumin may indicate liver disease, kidney disease, or malnutrition."
"How to prevent motion sickness?","Sit in front seat of car, focus on horizon, avoid heavy meals before travel, use over‑the‑counter antihistamines (dimenhydrinate) or scopolamine patch."
"What are the symptoms of a herniated disc?","Sharp or shooting pain in arm or leg, numbness or tingling, muscle weakness. Pain often worsens with movement, coughing, or sneezing."
"What is the treatment for a mild case of athlete's foot?","Over‑the‑counter antifungal creams (clotrimazole, terbinafine), keep feet dry, wear breathable shoes, change socks daily."
"What is the normal INR (International Normalized Ratio) for people not on blood thinners?","0.8 to 1.1. For patients on warfarin, target range is usually 2.0-3.0."
"How to prevent constipation?","Drink plenty of water, eat high‑fibre foods (fruits, vegetables, whole grains), exercise regularly, respond to urge to defecate."
"What are the symptoms of a sinus infection?","Facial pain or pressure, nasal congestion, thick yellow/green discharge, headache, fever, tooth pain, reduced sense of smell."
"What is the treatment for a mild case of conjunctivitis (pink eye)?","Viral conjunctivitis: self‑limiting, use cold compresses, artificial tears. Bacterial: antibiotic eye drops. Allergic: antihistamine eye drops."
"What is the normal eosinophil count?","0 to 500 cells per microliter of blood (0-5% of total white blood cells). High counts may indicate allergies, parasites, or certain inflammatory conditions."
"How to prevent insect bites?","Use insect repellent (DEET, picaridin), wear long sleeves and pants, avoid scented products, use mosquito nets when sleeping."
"What are the symptoms of a kidney stone?","Severe pain in side and back (below ribs), pain that radiates to lower abdomen and groin, painful urination, pink/brown urine, nausea, vomiting."
"What is the treatment for a mild case of rosacea?","Avoid triggers (sun, spicy foods, alcohol), use gentle skincare, topical metronidazole or azelaic acid. Oral antibiotics for moderate cases."
"What is the normal ferritin level?","Men: 24-336 ng/mL; Women: 11-307 ng/mL. Low ferritin indicates iron deficiency; high ferritin may indicate inflammation or iron overload."
"How to prevent ear infections in children?","Breastfeed for at least 6 months, avoid secondhand smoke, keep immunisations up to date (pneumococcal and flu vaccines), limit pacifier use."
"What are the symptoms of a bladder infection?","Frequent, painful urination, cloudy or strong‑smelling urine, pelvic discomfort, low‑grade fever. Without treatment, may progress to kidney infection."
"What is the treatment for a mild case of eczema in children?","Daily moisturisers, mild topical corticosteroids (hydrocortisone), avoid triggers (soaps, detergents, wool), lukewarm baths."
"What is the normal neutrophil count?","2,500 to 7,000 cells per microliter of blood (40-70% of white blood cells). Low neutrophils (neutropenia) increase infection risk."
"How to prevent carpal tunnel syndrome?","Take frequent breaks, stretch hands and wrists, keep wrists in neutral position, use ergonomic tools, maintain good posture."
